,Document,Original Summary,Corrected Summary
159,"Mali's army said on Friday that it had killed 203 combatants in an operation in the centre of Sahel state, an apparent uptick in violence in the conflict-torn country. The army said the March 23-31 military operation took place in Sahel's Moura area — which it termed a ""terrorist fiefdom"". Soldiers killed 203 militants, arrested 51 people and seized large quantities of weapons, according to the army's statement. The announcement comes as numerous social media reports in Mali this week alleged that dozens of people, including civilians, had been killed in Moura.  Reacting to the news on Saturday, the UN's peacekeeping mission in Mali, known as Minusma, stated that it was ""very concerned about the allegations of violence against civilians"". AFP was unable to verify the army's claimed death toll or the social media reports about civilian deaths. Poor access to Mali's conflict areas and a relative lack of independent information sources means that figures provided by either the government or armed groups are difficult to confirm. An impoverished nation of around 21 million people, Mali has struggled to contain a jihadist insurgency that emerged in 2012, before spreading to neighbouring Burkina Faso and Niger.  Vast swathes of the country are are home to myriad rebel groups and militias, and thousands of soldiers and civilians have been killed in the conflict. Mali's under-equipped army has also often been accused of committing abuses during the conflict. According to a report seen by AFP, UN Secretary-General Antonio Guterres recently warned the UN Security Council that Mali's counter-terrorism efforts had ""disastrous consequences for the civilian population"". In its statement on Friday, Mali's army said it was guided by human rights and international law, and called for ""restraint against defamatory speculations"".  The country has seen an apparent uptick in violence in recent weeks. The UN said on Friday that thousands of people fleeing fighting in Mali have arrived in Niger. A day earlier, the peacekeeping mission Minusma said that security had ""deteriorated considerably"" in the border area with Burkina Faso and Niger. ","Mali's army said on Friday that it had killed 203 militants in an operation in Sahel state . The army said the operation took place in the Moura area, which it termed a ""terrorist fiefdom"" The announcement comes as social media reports in Mali this week alleged that dozens of people, including civilians, had been killed . The UN's peacekeeping","Mali's army said on April 1 that it had killed 203 militants, arrested 51 people and seized large quantities of weapons in an operation in Sahel state. The army said the March 23-31 military operation took place in the Moura area, which it termed a ""terrorist fiefdom"". UN's peacekeeping mission in Mali, Minusma, stated that it was ""very concerned about the allegations of violence against civilians"". The country has seen an apparent uptick in violence in recent weeks."
160,"Tesla Inc has signed an undisclosed deal with
Brazilian mining company Vale S.A. for the supply of nickel to the
electric car maker, Bloomberg Newsreported on
Wednesday, citing sources. (Sign up to our Technology newsletter, Today's Cache, for insights on emerging themes at the intersection of technology, business and policy. Click here to subscribe for free.) The price of nickel, which is essential to making batteries for electric
vehicles, had been rising steadily even before the conflict in Ukraine drove it
up even further and triggered chaos at the London Metal Exchange in early March. Prices of other metals used in cars, including aluminum, palladium and
lithium, have also soared recently. Tesla, the world's largest automaker, signed the multi-year supply deal with
Vale for nickel from Canada, Bloomberg reported. Tesla did not immediately respond to a Reuters request for comment. Vale declined to comment on the report, but said it had stated previously
that the company currently sells 5% of its production into the EV market and
plans to increase that to 30%-40%. Tesla has been less affected by supply chain issues arising out of the
COVID-19 pandemic, when compared with other automakers that have cut production as they face shortage of several components including chips and battery metals of EVs. CEO Elon Musk said earlier this month that the
electric car maker and his rocket company SpaceX are facing significantinflationary pressures in raw materials and logistics.","Tesla Inc has signed an undisclosed deal with Brazilian mining company Vale S.A. for nickel, Bloomberg News reports . The price of nickel, essential to making batteries for electric vehicles, had been rising steadily even before the conflict in Ukraine triggered chaos at the London Metal Exchange in March .","Tesla Inc has signed an undisclosed deal with Brazilian mining company Vale S.A. for multi-year supply of nickel from Canada. Vale currently sells 5% of its production into the EV market and plans to increase that to 30%-40%. The price of nickel, essential to making batteries for electric vehicles, had been rising steadily even before the conflict in Ukraine triggered chaos. CEO Elon Musk said earlier this month that the electric car maker and his rocket company SpaceX are facing significant inflationary pressures in raw materials and logistics."
161,"The Union Government informed a UAPA tribunal that Islamist preacher Zakir Naik, ""despite leaving for Malaysia in 2016,"" continues to reach out to his followers promoting hatred and ill-will between different religious communities, forcible conversion of youth to Islam and make derogatory statements against the Hindu, Hindu Gods and other religions.  Indian agencies have been trying to get a red notice by Interpol against him for the past seven years.  In November 2021, the Ministry of Home Affairs (MHA) extended the ban on Naik's NGO- the Islamic Research Foundation (IRF), by another five years. The IRF was first declared an unlawful association in 2016 under the Unlawful Activities (Prevention) Act (UAPA) after a terror attack in Bangladesh.  The order upheld by the UAPA tribunal and published in the Gazette of India on March 30 said that ""the speeches of Dr. Zakir Naik, were objectionable as he has been extolling known terrorists, proclaiming that every Muslim should be a terrorist and promoting forcible conversion of the youth to Islam, justifying the suicide bombings, posting objectionable comments against Hindu, Hindu's God and other religions which are derogatory to other religions and further inspiring the Muslim youth and terrorists in India and abroad to commit terrorist acts.""  It further said, ""Furthermore, the unlawful activities of IRF, its members as well as its sympathizers were noticed in States of Gujarat, Karnataka, Jammu and Kashmir, Jharkhand, Kerala, Maharashtra and Odisha"".  The IRF told the tribunal that it was a registered charitable public trust with pious and virtuous objects and that it had never indulged in any unlawful activity at any point of time. It stated that all allegations made by the Central government in the notification were either stale or vague and failed to demonstrate the registration of a case against Naik or for banning the IRF.  ""The fact that the Central Government is of the opinion that the foundation should be continued to be banned after an earlier ban of 5 years, it ought to have referred to new material and facts pertaining to the period between 2016-2021 which reflected the requirement to ban the foundation again. The notification does not disclose any activity which may attract the provisions of the UAPA, 1967 or Sections 153-A or 153-B of the Indian Penal Code,"" the IRF said. The MHA submitted confidential reports in sealed covers to the tribunal detailing the activities of the IRF during the said period. ",Zakir Naik's NGO- the Islamic Research Foundation (IRF) was first declared an unlawful association in 2016 under the Unlawful Activities (Prevention) Act (UAPA) after a terror attack in Bangladesh . The IRF told the tribunal that it was a registered charitable public trust with pious and virtuous objects and that it had never indulged,"The Centre informed a UAPA tribunal that Zakir Naik, ""despite leaving for Malaysia in 2016,"" continues to reach out to his followers promoting hatred and ill-will between different religious communities, forcible conversion of youth to Islam and make derogatory statements. Naik's NGO- the Islamic Research Foundation was first declared an unlawful association in 2016 under the UAPA after a terror attack in Bangladesh. In November 2021, the Ministry of Home Affairs extended the ban by another five years.  The IRF told the tribunal all allegations were either stale or vague and failed to demonstrate the registration of a case."
162,"Union ministers Bhupender Yadav and R.K. Singh on Thursday parried questions from Opposition members in the Lok Sabha on how India planned to address emissions from its coal plants and whether it had a strategy in place to deal with climate refugees, saying the government had provisioned for these and was en-route to sourcing more of its energy from non-fossil fuel sources. As part of a discussion in the Lok Sabha on climate change, Dravida Munetra Kazhagam MP Kanimozhi Karunanidhi and Saugata Roy of the Trinamool Congress wanted to know if the government was prepared to deal with the influx of 'climate refugees' or those who would be forced to move away from the coasts and their traditional habitations because of rising sea levels and soil erosion.  Mr. Roy also sought to know how the government proposed to deal with coal plants and the environmental pollution resulting from mining and burning of coal given India's commitment at the United Nations Conference of Parties (COP 26) to increase its share of renewable energy. Union Minister for Environment, Forest and Climate Change, Mr. Yadav, gave a detailed reply on several aspects of environmental pollution, the rationale governing India's position on climate change and how the country is balancing economic growth and its consequences to the environment. ""Western nations have a historical responsibility to address the greenhouse gas emissions they have emitted. We have a national adaptation fund and national disaster resilience infrastructure fund to take care of potential climate refugees,"" he said. Power Minister R.K. Singh, said India had pledged at COP 15 in Paris that by 2030, 30% of its energy needs will be from non-fossil fuesl.  ""We are already sourcing, as of November (2021), 40% of our energy needs from non-fossil fuel sources and will push it to 62% by 2030. International climate trackers have attested that we are the only major economy whose emissions pathway is consistent with keeping global temperatures below a 2 degree rise. This context is important when discussing coal plants and we are among the few countries that have raised our ambitions, unlike many others, towards clean emissions,"" the Minister said. ","Opposition asked how India planned to address emissions from its coal plants and whether it had a strategy in place to deal with climate refugees . Power Minister R.K. Singh said India had pledged at COP 15 in Paris that by 2030, 30% of its energy needs will be from non-fossil fuesl .","Union ministers Bhupender Yadav and R.K. Singh on March 31 parried questions from Opposition members in the Lok Sabha, saying the government had provisioned for climate refugees and was en-route to sourcing more of its energy from non-fossil fuel sources. As part of a discussion on climate change, Mr. Yadav said the country has a national adaptation fund and national disaster resilience infrastructure fund to take care of potential climate refugees. Mr. Singh said India is already sourcing, as of November 2021, 40% of its energy needs from non-fossil fuel sources and will push it to 62% by 2030."
163," Procter & Gamble India said it had become 'plastic waste neutral' in FY22.  The company said it had collected, processed, and recycled over 19,000 MT of post-consumer plastic packaging waste from across the country, which was more than the amount of plastic packaging in its products sold in a year. The company said it was working with recycling partners across 75 cities in India to collect plastic, which is then sent to different recyclers, waste-to-energy plants, and cement kilns. In addition to recycling, the company said it had also ""made a deliberate effort to reduce the packaging material and in the last five years, had reduced usage of packaging material by more than 5,000 MT."" Madhusudan Gopalan, CEO, Procter & Gamble – Indian Sub-Continent said, ""We are also taking a deliberate approach to reducing the impact of our operations, and setting up in-house solar plants is a step in this direction. We have made strong progress across our brands, our supply chain, [and] our operations with support from our partners and employees."" ""We are fully committed to making a positive impact in the world and creating a sustainable future for generations to come,"" he added.","Procter & Gamble India said it had become 'plastic waste neutral' in FY22 . The company said it has collected, processed, and recycled over 19,000 MT of post-consumer plastic packaging waste from across the country .","Procter & Gamble India said it had become 'plastic waste neutral' in FY22, having collected processed, and recycled more post-consumer plastic packaging waste from across the country than the amount of plastic packaging in its products sold in a year . The company said it was working with recycling partners across 75 cities in India to collect plastic, and had made a deliberate effort to reduce the packaging material."
164,"The government on Thursday opted to leave interest rates on small savings instruments like the Public Provident Fund unchanged for April to June 2022, maintaining the status quo for the eighth successive quarter.  The Reserve Bank of India had indicated the need to pare interest rates on these schemes between 0.09 and 1.18 percentage points in the coming quarter. However, the resurgence of inflation beyond 6% in the last two months and the upswing in oil prices may have weighed against taking an unpopular step, especially after the Employees' Provident Fund rate for 2021-22 was reduced from 8.5% to 8.1% earlier this month, the lowest in over 42 years.  The rates on various small savings schemes were last reduced in the range of 0.5 and 1.4 percentage points in April 2020, and an announcement of further cuts ranging from 0.4% to 1.1% on March 31 , 2022, was revoked by April 1.   The quarterly interest rate paid on one year term deposits remains 5.5%, Senior Citizen Savings' Scheme will continue to earn 7.4%, while the Sukanya Samriddhi Account Scheme's return is 7.6%. The PPF return will remain at 7.1%.    ICRA chief economist Aditi Nayar said small savings rates may be increased in the latter half of the year following expected rate hikes by the central bank through August and October.  ""With the rise in yields on government securities over the last three months, as well as the inching up of deposit rates of banks, we had foreseen a small probability of the small savings rates being revised upwards for the coming quarter,"" she noted. ",The Reserve Bank of India had indicated the need to pare interest rates on these schemes between 0.09 and 1.18 percentage points in the coming quarter . The resurgence of inflation beyond 6% in the last two months and the upswing in oil prices may have weighed against taking an unpopular step . ICRA chief economist Aditi Nayar said small savings rates,"The government on April 1 opted to leave interest rates on small savings instruments like the Public Provident Fund unchanged for April to June 2022. The quarterly interest rate paid on one year term deposits remains 5.5%, Senior Citizen Savings' Scheme will continue to earn 7.4%, while the Sukanya Samriddhi Account Scheme's return is 7.6%. The PPF return will remain at 7.1%.  The RBI had indicated the need to pare interest rates on these schemes in the coming quarter, but the resurgence of inflation in the last two months and the upswing in oil prices may have weighed against taking an unpopular step."
165,"The Indian auto component industry is expected to clock 8-10% growth in FY23, supported by the easing of supply-chain issues and commodity inflation in the second half of the year, according to rating agency Icra. For 2021-22, the revenue growth of the industry is pegged at 13-15%, driven by domestic OEM, replacement, export volumes and pass-through of commodity prices. The healthy volume growth will, however, come on a low base of FY2021, the agency said in a statement. ""Demand for auto components stems from domestic OEMs, replacement and exports. Domestic OEM demand has remained a mixed bag across segments in FY2022, with a slowdown in two-wheelers (2Ws) and semiconductor shortage dragging down overall production volumes,"" Icra Ltd. Assistant Vice President & Sector Head – Corporate Ratings Vinutaa S said. Exports have remained a bright spot in the Indian auto component story, partly aided by the ""China+1 strategy"". This is despite supply chain issues, she added. ""ICRA believes that the growth in FY2022 exports would have been even better if not for the semiconductor shortage. While auto ancillaries have a healthy export order book for the next few months, the impact of geopolitical and supply-chain issues on actual offtake remains monitorable,"" Ms. Vinutaa said. For FY2023, Icra said, ""Revenues are likely to expand by 8-10% supported by easing of supply-chain issues and commodity inflation in H2 FY2023. Over the long term, premiumisation of vehicles and focus on localisation will translate into healthy growth for auto component suppliers"". The rating agency said cost inflation and semiconductor shortage remain headwinds for the industry. ""Operating margins for auto ancillaries are likely to be impacted in the near term with elevated raw material, fuel and freight prices. While the semiconductor situation has been improving in the last 1-2 months, the Russia-Ukraine conflict could stress the globalised chip value chain,"" it said. In the aftermarket segment, the agency said the improvement in personal mobility, healthy freight movement and deferment of new vehicle purchases due to cost inflation have supported replacement sales in the last few months. Part of the revenue growth has also come from commodity pass-through. While January to mid-February was relatively dull because of the Omicron wave, demand has picked up in the last few weeks. ","For 2021-22, the revenue growth of the industry is pegged at 13-15%, driven by domestic OEM, replacement, export volumes and pass-through of commodity prices . For FY2023, Icra said, ""Revenues are likely to expand by 8-10% supported by easing of supply-chain issues""","The Indian auto component industry is expected to clock 8-10% growth in FY23, according to rating agency Icra. For FY2023, Icra said that revenues are likely to expand by 8-10% supported by easing of supply-chain issues. For 2021-22, the revenue growth of the industry is pegged at 13-15%, driven by domestic OEM, replacement, export volumes and pass-through of commodity prices. cost inflation and semiconductor shortage remain headwinds for the industry. While January to mid-February was relatively dull because of the Omicron wave, demand has picked up in the last few weeks."
166," Diesel was no longer on sale across Sri Lanka on Thursday, crippling transport as the crisis-hit country's 22 million people endured record-long power blackouts. The South Asian nation is in the grips of its worst economic downturn since independence, sparked by an acute lack of foreign currency to pay for even the most essential imports. Diesel – the main fuel for buses and commercial vehicles – was unavailable at stations across the island, according to officials and media reports. Petrol was on sale but in short supply, forcing motorists to abandon their cars in long queues. ""We are siphoning off fuel from buses that are in the garage for repairs and using that diesel to operate serviceable vehicles,"" Transport Minister Dilum Amunugama said. Owners of private buses – which account for two-thirds of the country's fleet – said they were already out of oil and that even skeleton services may not be possible after Friday. ""We are still using old stocks of diesel, but if we don't get supplies by this evening, we will not be able to operate,"" chairman of the private bus operators association Gemunu Wijeratne told AFP. The state electricity monopoly said they would be forced to enforce a 13-hour power cut from Thursday – the longest ever – because they did not have diesel for generators. ""We are promised new supplies in two days and if that happens, we can reduce the length of power cuts,"" Ceylon Electricity Board chairman M. M. C. Ferdinando told reporters. He said hydro reservoirs, which provide more than a third of electricity demand, were also dangerously low. The lengthy power cuts forced the Colombo Stock Exchange to limit its trading by half to two hours, while many offices asked non-essential staff to stay at home. The electricity rationing also hit mobile phone base stations and affected the quality of calls, operators said, adding that their stand-by generators were also without diesel. The shortages have sparked outrage across Sri Lanka, with local television reporting protests across the country as hundreds of motorists block main roads in several towns. Several state-run hospitals have stopped surgeries as they have run out of essential life-saving medicines, while most have stopped diagnostic tests which require imported chemicals that are in short supply. Colombo imposed a broad import ban in March 2020 in a bid to save foreign currency needed to service its $51 billion in foreign debt. But this has led to widespread shortages of essential goods and sharp price rises. The government has said it is seeking a bailout from the International Monetary Fund while asking for more loans from India and China. Sri Lanka's predicament was exacerbated by the Covid-19 pandemic, which torpedoed tourism and remittances. Many economists also blame government mismanagement including tax cuts and years of budget deficits.","Diesel was no longer on sale across Sri Lanka on Thursday, crippling transport as the crisis-hit country's 22 million people endured record-long power blackouts . The South Asian nation is in the grips of its worst economic downturn since independence, sparked by an acute lack of foreign currency to pay for even the most essential imports . The state electricity monopoly said they would","Diesel was no longer on sale across Sri Lanka on March 31, crippling transport as 22 million people endured record-long power blackouts. Owners of private buses said they were already out of oil and that even skeleton services may not be possible. The state electricity monopoly said they would be forced to enforce a 13-hour power cut from March 31 because they did not have diesel for generators. The lengthy power cuts forced the Colombo Stock Exchange to limit its trading and also hit mobile phone base. The shortages have sparked outrage with local television reporting protests across the country."
167,"Chinese leader Xi Jinping on March 31 issued strong backing for Afghanistan at a regional conference, while making no mention of human rights abuses by the country's Taliban leaders.  Xi pledged China's support in a message to a gathering of representatives from Afghanistan, China, Russia, Pakistan, Iran, Tajikistan, Turkmenistan and Uzbekistan in a central Chinese city that spotlights Beijing's aspirations to play a leading role in Afghanistan following the withdrawal of U.S. forces last August. A ""peaceful, stable, developed and prosperous Afghanistan"" is what Afghans aspire to, which ""serves the common interests of regional countries and the international community,"" Xi said.  ""China has all along respected Afghanistan's sovereignty, independence and territorial integrity, and is committed to supporting Afghanistan's peaceful and stable development,"" Xi said in his message to the gathering in Tunxi, a centre of the tourism industry in Anhui province.  Xi gave no specifics, although China has already shipped emergency aid to Afghanistan and is seeking to develop copper mining there.  China follows what it calls a strict policy of ""non-intervention"" in other countries' internal affairs, including opposing those staged for humanitarian purposes unless sanctioned by the United Nations. Despite that, Beijing is frequently accused of meddling to further its own domestic and international interests.  Special envoys for Afghanistan from China, the United States and Russia, a group known as the ""Extended Troika,"" were also meeting concurrently in Tunxi.  Although it has yet to recognise the Taliban government, China has moved quickly to shore up its ties with the radical Islamic group.  A month before the Taliban took power, Foreign Minister Wang Yi hosted a high-powered delegation from the group for a July 28, 2021, meeting in the Chinese port city of Tianjin. Wang referred to the group as ""pivotal"" force important to peace and reconstruction in Afghanistan. On that and other occasions, Chinese have pushed the Taliban for assurances they will not permit operations within Afghanistan's borders by members of China's Turkic Muslim Uyghur minority intent on overthrowing Chinese rule in their native region of Xinjiang.  Wang also made a surprise stop in Kabul last week to meet Taliban leaders, even as the international community fumed over the hard-line movement's broken promise a day earlier to open schools to girls beyond the sixth grade. China has studiously avoided mentioning the limits on girls' education and other human rights abuses, particularly those targeting women, while keeping its Kabul embassy open.  The Foreign Ministers of Qatar and Indonesia have been invited to the meeting of neighbouring states as guests. Taliban-appointed Foreign Minister, Amir Khan Muttaqi, is representing Afghanistan at the meeting. ","Chinese leader Xi Jinping issued strong backing for Afghanistan at a regional conference . He made no mention of human rights abuses by the country's Taliban leaders . China has already shipped emergency aid to Afghanistan and is seeking to develop copper mining there . Although it has yet to recognise the Taliban government, China has moved quickly to shore up its ties with the group .","Chinese leader Xi Jinping issued strong backing for Afghanistan at a regional conference saying China has all along respected Afghanistan's sovereignty, independence and territorial integrity. He made no mention of human rights abuses by the country's Taliban leaders. Special envoys for Afghanistan from China, the United States and Russia, a group known as the ""Extended Troika,"" were also meeting concurrently. China has already shipped emergency aid to Afghanistan and is seeking to develop copper mining there. Although it has yet to recognise the Taliban government, China has moved quickly to shore up its ties with the group."
168,"Millions of people in China's financial hub were confined to their homes on Monday as the eastern half of Shanghai went into lockdown to curb the country's biggest ongoing Covid-19 outbreak. The move, announced late Sunday, caused a run on grocery stores by residents who have become exasperated with authorities' inability to snuff out the outbreak despite nearly three weeks of increasingly disruptive measures. Authorities are imposing a two-phase lockdown of the city of about 25 million people to carry out mass testing. The government had sought to avoid the hard lockdowns regularly deployed in other Chinese cities, opting instead for rolling localised lockdowns to keep Shanghai's economy running. But Shanghai has in recent weeks become China's Covid hotspot, and on Monday another record high was reported, with 3,500 new confirmed cases in the city. The area locked down on Monday is the sprawling eastern district known as Pudong, which includes the main international airport and glittering financial centre. The lockdown will last until Friday, then switch to the more populated western Puxisection, home to the historic Bund riverfront. The governmentsaid thesteps were being taken to root out infections""as soon as possible"". The unpredictable neighbourhood-level measures employed in recent weeks have left many citizens frustrated with repeated, brief confinement sat home. Some complained Monday that only several hours' notice was given for the new, larger lockdown. ""We really don't understand Shanghai's management and control measures. There has indeed been some inconsistency,"" said a 59-year-old man who gave only his surname Cao as he queued to buy groceries. ""After so much time, (thecity) is notcontrolling the virusand the numbersarestill going up."" The government has notspecified any impact on Shanghai's main internationalairport or its bustling seaport. China largely kept the virus under control for the past two years through strict zero-tolerance measures including mass lockdowns of cities and provinces for even small numbers of cases. But Omicron has proven harder to stamp out. China has reported severalthousand newdaily cases for the past two weeks. Those numbers remain insignificant globally but are up sharply from fewer than 100 a day in February. Tens of millions of residents in affected areas across China have been subjected to city wide lockdowns in response. Butas Shanghai has struggled, somecities have made progress. The southern tech manufacturing hub Shenzhen -- which locked down earlier in thecurrent outbreak -- announced that normal business activity was resuming on Monday as new cases have dropped. ""I didn't think it will beso serious (in Shanghai),""said resident Guo Yunlong, 24. ""Every single detailed aspect of our lives fromclothing, food, living and commuting has been affected. I don't feel optimistic, to be honest."" Some online posts complained of the impact on elderly Shanghai residents who may not know how to order supplies online. Other users accused Shanghai-- which is envied by other cities for its wealth and cosmopolitan image -- of putting its desire to maintain normality over health concerns. Chinese authorities have watched nervously as a deadly Hong Kong Omicron surge sparked panic buying and claimed a high toll of unvaccinated elderly before later surging in mainland China.","The eastern half of Shanghai went into lockdown to curb the country's biggest ongoing Covid-19 outbreak . Authorities are imposing a two-phase lockdown of the city of about 25 million people to carry out mass testing . The move, announced late Sunday, caused a run on grocery stores by residents who have become exasperated with authorities' inability to snuff out the","The eastern half of Shanghai went into lockdown on March 29 to curb the country's biggest ongoing COVID-19 outbreak. Shanghai has in recent weeks become China's COVID hotspot, reporting 3,500 new confirmed cases on Monday. Authorities are imposing a two-phase lockdown to carry out mass testing. The area locked down is the sprawling eastern district Pudong, which includes the main international airport and financial centre. The lockdown will last until April 1, then switch to the more populated western Puxi section. The unpredictable neighbourhood-level measures employed in recent weeks have left many citizens frustrated with repeated, brief confinement sat home."
169," Israeli security services raided the homes of at least 12 Arab citizens and arrested two suspected of having ties to the Islamic State militant group in a crackdown sparked by recent deadly attacks, authorities said on March 29.  Hours before the raid, Prime Minister Naftali Bennett said the recent assaults inside Israel that left six people dead marked a ""new situation"" that required stepped-up security measures. Law enforcement officials said 31 homes and sites were searched overnight in northern Israel, an area that was home to the gunmen who killed two police officers and wounded four more people in the city of Hadera over the weekend.  The IS militant group claimed responsibility for Sunday's attack, as well as a stabbing rampage in southern Israel last Tuesday that killed four people. Police shot and killed the two gunmen, and the stabber was shot and killed by a passerby, police said. Israeli leaders, condemning the killings, pointed to the timing.  Both attacks came ahead of the Muslim holy month of Ramadan and Sunday's killings came on the eve of a high-profile meeting between the Foreign Ministers of four Arab nations and the U.S. in the Israeli Negev. All four Arab nations — Egypt, Morocco, Bahrain and the UAE — along with the U.S., condemned the killings.  Ramadan is expected to begin on Saturday. Last year, clashes between Israeli police and Muslim protesters during the holy month boiled over into an 11-day war between Israel and Hamas, the Islamic militant group that rules Gaza. Hamas praised the shooting as a ""heroic operation"".  Attacks by IS inside Israel are rare. The group operates mainly in Iraq and Syria, where it has recently stepped up attacks against security forces. It no longer controls any territory but operates through sleeper cells.  The IS has claimed responsibility for attacks against Israeli troops in the past and has branches in Afghanistan and other countries. ","Israeli security services raid the homes of at least 12 Arab citizens and arrested two suspected of having ties to the Islamic State militant group . Prime Minister Naftali Bennett said the recent assaults inside Israel that left six people dead marked a ""new situation"" that required stepped-up security measures . Law enforcement officials said 31 homes and sites were searched overnight in northern Israel .","Israeli security services raided the homes of at least 12 Arab citizens and arrested two suspected of having ties to the Islamic State militant group. Officials said 31 homes and sites were searched in an area that was home to the gunmen who killed two police officers and wounded four more people in Hadera over the weekend. Islamic State claimed responsibility for Sunday's attack, as well as a stabbing rampage in southern Israel. Prime Minister Naftali Bennett said the recent assaults inside Israel that left six people dead marked a ""new situation"" that required stepped-up security measures."
170," Russia reiterated Tuesday that it will only be accepting payment for gas deliveries to the EU in rubles after G7 ministers called this arrangement ""unacceptable"". ""Nobody will supply gas for free. This is just impossible. And it can only be paid for in rubles,"" Kremlin spokesman Dmitry Peskov told reporters. ""Companies must understand the completely changed environment that has arisen in the conditions of the economic war waged against Russia,"" he said. Russian President Vladimir Putin said last week that Moscow will now only accept rubles as payment for natural gas deliveries to ""unfriendly"" countries, which include the European Union. Western countries have piled crippling sanctions on Moscow since it moved troops into Ukraine, with the United States banning the import of Russia oil and gas among other measures. However, the European Union — which received around 40% of its gas supplies from Russia in 2021 — has retained deliveries from Moscow. Speaking on behalf of the G7 energy ministers, Germany's Robert Habeck said Monday that Russia's request was a ""unilateral and clear breach of the existing agreements"". He said payments in rubles were ""unacceptable"" and called on energy companies not to comply with Mr. Putin's demand. On Thursday, the Russian government, its central bank and energy giant Gazprom are expected to present Putin with a system that will allow gas payment to be conducted in rubles.  ""There is nothing better than Russian gas, all the other options are worse. That is the reality,"" Mr. Peskov said.","Russia says it will only be accepting payment for gas deliveries to the EU in rubles . G7 energy ministers have called this arrangement ""unacceptable"" Western countries have piled crippling sanctions on Moscow since it moved troops into Ukraine . But the European Union has retained deliveries from Moscow .","Russia says it will only be accepting payment for gas deliveries to the EU in rubles. The Russian government, its central bank and energy giant Gazprom are expected to present Vladimir Putin with a system that will allow gas payment to be conducted in rubles. G7 energy ministers have called this arrangement ""unacceptable"" and called on energy companies not to comply with Mr. Putin's demand. Western countries have piled crippling sanctions on Moscow since it moved troops into Ukraine, but the European Union has retained deliveries from Moscow."
171,"Making the quarterfinals at a tournament used to be no big deal for Naomi Osaka. It was only a shock if it didn't happen. Things are a bit different now. The former world No. 1 has made it through to the quarterfinals at the Miami Open — just the second time she has managed to advance that deep in any tournament over the last year. Osaka beat Alison Riske of the U.S. 6-3, 6-4 on Monday, moving into a round-of-eight matchup with Danielle Collins. Osaka's only other quarterfinal appearance in the last year was at an Australian Open warmup tournament in Melbourne in January. Before that, her most recent quarterfinals trip was at Miami a year ago. ""It's really funny for me, because last year here I made it to the quarters, too,"" Osaka said. ""It was after I won Australia and I wasn't that grateful. I kind of expected to win."" Wins these days just mean more, after ongoing struggles and time away from the game to deal with her mental health. Her ranking in the world has dipped to No. 77 — it could get somewhere around No. 30 if she wins the Miami title — and she hasn't won a tournament since that Australian Open victory last year. But her stay in Miami so far has been nothing but happiness, with three easy wins — all in straight sets — and the added benefit of a walkover victory in there as well. ""This is really one of the funnest times of my life,"" Osaka said. ""I'm really grateful."" Collins, the No. 9 seed from the U.S., needed just over an hour Monday to win her fourth-round match against No. 8 Ons Jabeur, 6-2, 6-4. The win likely ensured that Collins is locked into the top 10 when the world rankings reset early next week. She could be as high as No. 8 depending on how far others go in the tournament. Collins is 0-2 in previous matches against Osaka, both straight-set losses on hard courts, one in 2018, the other in 2019. ""When Naomi is at the top of her game, she's very, very hard to beat,"" Collins said. Daria Saville also got into the quarterfinals, surviving a three-hour match to beat Lucia Bronzetti 5-7, 6-4, 7-5. Saville has climbed a staggering 500 spots in the world rankings in about a month and a half; she was 627th in the world in mid-February and could make the top 100 if she wins her next match against either No. 22 Belinda Bencic or Aliaksandra Sasnovich. No. 2 Iga Swiatek, who is already assured of moving to No. 1 next week, also rolled into the quarterfinals with a 6-3, 6-1 win over No. 14 Coco Gauff. In the men's third round, Daniil Medvedev is now two wins away from reclaiming the No. 1 world ranking. The top seed in Miami beat Spain's Pedro Martinez 6-3, 6-4. A trip to the semifinals is all it would take for Medvedev to leapfrog Novak Djokovic and return to No. 1. Next up for Medvedev: American Jenson Brooksby, who rallied from 0-4 down in the third set to upset No. 15 Roberto Bautista Agut 6-3, 5-7, 6-4. ""I competed until the end,"" Brooksby said. Defending champion Hubert Hurkacz also advanced, the No. 8 seed fighting past No. 29 Aslan Karatsev 7-5, 4-6, 6-3. No. 14 Carlos Alcaraz got by No. 21 Marin Cilic 6-4, 6-4.","Naomi Osaka beats Alison Riske of the U.S. 6-3, 6-4 at the Miami Open . It's just the second time Osaka has made it to the quarterfinals of any tournament over the last year . Daniil Medvedev is two wins away from reclaiming the No. 1 world ranking .","Naomi Osaka beat Alison Riske of the U.S. at the Miami Open, and made it into quarterfinals with Danielle Collins. Her ranking in the world could get somewhere around No. 30 if she wins the Miami title. Collins', the No. 9 seed from the U.S. win against No. 8 Ons Jabeur likely ensured that she is locked into the top 10. Daria Saville also got into the quarterfinals beating Lucia Bronzetti. Iga Swiatekalso rolled into the quarterfinals with a win over Coco Gauff. In the men's third round, Daniil Medvedev is now two wins away from reclaiming the No. 1 world ranking."
